#,Number,Name,Type 1,Type 2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,First_pokemon,Second_pokemon,Total Fights,Win Percentage
304,305,Kirlia,Psychic,Fairy,38,35,35,65,55,50,3,False,36,36,136,0.2647058823529412
305,306,Gardevoir,Psychic,Fairy,68,65,65,125,115,80,3,False,84,84,130,0.6461538461538462
306,307,Mega Gardevoir,Psychic,Fairy,68,85,65,165,135,100,3,False,97,97,120,0.8083333333333333
307,308,Surskit,Bug,Water,40,30,32,50,52,65,3,False,47,47,128,0.3671875
308,309,Masquerain,Bug,Flying,70,60,62,80,82,60,3,False,63,63,144,0.4375
309,310,Shroomish,Grass,,60,40,60,40,60,35,3,False,26,26,144,0.18055555555555555
310,311,Breloom,Grass,Fighting,60,130,80,60,60,70,3,False,67,67,130,0.5153846153846153
311,312,Slakoth,Normal,,60,60,60,35,35,30,3,False,15,15,134,0.11194029850746269
312,313,Vigoroth,Normal,,80,80,80,55,55,90,3,False,86,86,134,0.6417910447761194
313,314,Slaking,Normal,,150,160,100,95,65,100,3,False,133,133,150,0.8866666666666667
314,315,Nincada,Bug,Ground,31,45,90,30,30,40,3,False,25,25,114,0.21929824561403508
315,316,Ninjask,Bug,Flying,61,90,45,50,50,160,3,False,108,108,117,0.9230769230769231
316,317,Shedinja,Bug,Ghost,1,90,45,30,30,40,3,False,41,41,124,0.33064516129032256
317,318,Whismur,Normal,,64,51,23,51,23,28,3,False,15,15,132,0.11363636363636363
318,319,Loudred,Normal,,84,71,43,71,43,48,3,False,37,37,143,0.25874125874125875
319,320,Exploud,Normal,,104,91,63,91,73,68,3,False,65,65,127,0.5118110236220472
320,321,Makuhita,Fighting,,72,60,30,20,30,25,3,False,14,14,121,0.11570247933884298
322,323,Azurill,Normal,Fairy,50,20,40,20,40,20,3,False,13,13,135,0.0962962962962963
323,324,Nosepass,Rock,,30,45,135,45,90,30,3,False,13,13,140,0.09285714285714286
324,325,Skitty,Normal,,50,45,45,35,35,50,3,False,32,32,136,0.23529411764705882
325,326,Delcatty,Normal,,70,65,65,55,55,70,3,False,58,58,116,0.5
326,327,Sableye,Dark,Ghost,50,75,75,65,65,50,3,False,49,49,121,0.4049586776859504
327,328,Mega Sableye,Dark,Ghost,50,85,125,85,115,20,3,False,59,59,137,0.4306569343065693
328,329,Mawile,Steel,Fairy,50,85,85,55,55,50,3,False,48,48,123,0.3902439024390244
329,330,Mega Mawile,Steel,Fairy,50,105,125,55,95,50,3,False,53,53,141,0.375886524822695
330,331,Aron,Steel,Rock,50,70,100,40,40,30,3,False,28,28,126,0.2222222222222222
331,332,Lairon,Steel,Rock,60,90,140,50,50,40,3,False,36,36,142,0.2535211267605634
332,333,Aggron,Steel,Rock,70,110,180,60,60,50,3,False,63,63,153,0.4117647058823529
333,334,Mega Aggron,Steel,,70,140,230,60,80,50,3,False,48,48,148,0.32432432432432434
334,335,Meditite,Fighting,Psychic,30,40,55,40,55,60,3,False,45,45,139,0.3237410071942446
335,336,Medicham,Fighting,Psychic,60,60,75,60,75,80,3,False,82,82,112,0.7321428571428571
336,337,Mega Medicham,Fighting,Psychic,60,100,85,80,85,100,3,False,89,89,127,0.7007874015748031
337,338,Electrike,Electric,,40,45,40,65,40,65,3,False,77,77,136,0.5661764705882353
338,339,Manectric,Electric,,70,75,60,105,60,105,3,False,110,110,125,0.88
339,340,Mega Manectric,Electric,,70,75,80,135,80,135,3,False,123,123,134,0.917910447761194
340,341,Plusle,Electric,,60,50,40,85,75,95,3,False,92,92,122,0.7540983606557377
341,342,Minun,Electric,,60,40,50,75,85,95,3,False,81,81,134,0.6044776119402985
342,343,Volbeat,Bug,,65,73,55,47,75,85,3,False,76,76,111,0.6846846846846847
343,344,Illumise,Bug,,65,47,55,73,75,85,3,False,104,104,160,0.65
344,345,Roselia,Grass,Poison,50,60,45,100,80,65,3,False,53,53,116,0.45689655172413796
345,346,Gulpin,Poison,,70,43,53,43,53,40,3,False,21,21,110,0.19090909090909092
346,347,Swalot,Poison,,100,73,83,73,83,55,3,False,45,45,121,0.371900826446281
347,348,Carvanha,Water,Dark,45,90,20,65,20,65,3,False,66,66,129,0.5116279069767442
348,349,Sharpedo,Water,Dark,70,120,40,95,40,95,3,False,107,107,132,0.8106060606060606
349,350,Mega Sharpedo,Water,Dark,70,140,70,110,65,105,3,False,114,114,120,0.95
350,351,Wailmer,Water,,130,70,35,70,35,60,3,False,45,45,112,0.4017857142857143
351,352,Wailord,Water,,170,90,45,90,45,60,3,False,59,59,138,0.427536231884058
352,353,Numel,Fire,Ground,60,60,40,65,45,35,3,False,19,19,120,0.15833333333333333
353,354,Camerupt,Fire,Ground,70,100,70,105,75,40,3,False,26,26,112,0.23214285714285715
354,355,Mega Camerupt,Fire,Ground,70,120,100,145,105,20,3,False,37,37,131,0.2824427480916031
355,356,Torkoal,Fire,,70,85,140,85,70,20,3,False,34,34,125,0.272
356,357,Spoink,Psychic,,60,25,35,70,80,60,3,False,36,36,117,0.3076923076923077
357,358,Grumpig,Psychic,,80,45,65,90,110,80,3,False,59,59,108,0.5462962962962963
358,359,Spinda,Normal,,60,60,60,60,60,60,3,False,48,48,126,0.38095238095238093
359,360,Trapinch,Ground,,45,100,45,45,45,10,3,False,41,41,139,0.2949640287769784
360,361,Vibrava,Ground,Dragon,50,70,50,50,50,70,3,False,70,70,124,0.5645161290322581
361,362,Flygon,Ground,Dragon,80,100,80,80,80,100,3,False,105,105,116,0.9051724137931034
362,363,Cacnea,Grass,,50,85,40,85,40,35,3,False,22,22,126,0.1746031746031746
363,364,Cacturne,Grass,Dark,70,115,60,115,60,55,3,False,66,66,142,0.4647887323943662
364,365,Swablu,Normal,Flying,45,40,60,40,75,50,3,False,36,36,123,0.2926829268292683
365,366,Altaria,Dragon,Flying,75,70,90,70,105,80,3,False,82,82,125,0.656
366,367,Mega Altaria,Dragon,Fairy,75,110,110,110,105,80,3,False,90,90,137,0.656934306569343
367,368,Zangoose,Normal,,73,115,60,60,60,90,3,False,79,79,118,0.6694915254237288
368,369,Seviper,Poison,,73,100,60,100,60,65,3,False,61,61,143,0.42657342657342656
369,370,Lunatone,Rock,Psychic,70,55,65,95,85,70,3,False,69,69,130,0.5307692307692308
370,371,Solrock,Rock,Psychic,70,95,85,55,65,70,3,False,54,54,108,0.5
371,372,Barboach,Water,Ground,50,48,43,46,41,60,3,False,70,70,148,0.47297297297297297
372,373,Whiscash,Water,Ground,110,78,73,76,71,60,3,False,41,41,123,0.3333333333333333
373,374,Corphish,Water,,43,80,65,50,35,35,3,False,22,22,155,0.14193548387096774
374,375,Crawdaunt,Water,Dark,63,120,85,90,55,55,3,False,34,34,121,0.2809917355371901
375,376,Baltoy,Ground,Psychic,40,40,55,40,70,55,3,False,61,61,149,0.40939597315436244
376,377,Claydol,Ground,Psychic,60,70,105,70,120,75,3,False,73,73,122,0.5983606557377049
377,378,Lileep,Rock,Grass,66,41,77,61,87,23,3,False,15,15,124,0.12096774193548387
378,379,Cradily,Rock,Grass,86,81,97,81,107,43,3,False,26,26,128,0.203125
379,380,Anorith,Rock,Bug,45,95,50,40,50,75,3,False,81,81,150,0.54
380,381,Armaldo,Rock,Bug,75,125,100,70,80,45,3,False,37,37,112,0.33035714285714285
381,382,Feebas,Water,,20,15,20,10,55,80,3,False,33,33,123,0.2682926829268293
382,383,Milotic,Water,,95,60,79,100,125,81,3,False,80,80,129,0.6201550387596899
383,384,Castform,Normal,,70,70,70,70,70,70,3,False,64,64,121,0.5289256198347108
384,385,Kecleon,Normal,,60,90,70,60,120,40,3,False,34,34,124,0.27419354838709675
385,386,Shuppet,Ghost,,44,75,35,63,33,45,3,False,36,36,136,0.2647058823529412
386,387,Banette,Ghost,,64,115,65,83,63,65,3,False,74,74,139,0.5323741007194245
387,388,Mega Banette,Ghost,,64,165,75,93,83,75,3,False,83,83,126,0.6587301587301587
388,389,Duskull,Ghost,,20,40,90,30,90,25,3,False,15,15,132,0.11363636363636363
389,390,Dusclops,Ghost,,40,70,130,60,130,25,3,False,21,21,121,0.17355371900826447
390,391,Tropius,Grass,Flying,99,68,83,72,87,51,3,False,56,56,134,0.417910447761194
391,392,Chimecho,Psychic,,65,50,70,95,80,65,3,False,52,52,122,0.4262295081967213
392,393,Absol,Dark,,65,130,60,75,60,75,3,False,89,89,129,0.689922480620155
393,394,Mega Absol,Dark,,65,150,60,115,60,115,3,False,130,130,139,0.935251798561151
394,395,Wynaut,Psychic,,95,23,48,23,48,23,3,False,6,6,130,0.046153846153846156
395,396,Snorunt,Ice,,50,50,50,50,50,50,3,False,39,39,127,0.30708661417322836
396,397,Glalie,Ice,,80,80,80,80,80,80,3,False,80,80,133,0.6015037593984962
397,398,Mega Glalie,Ice,,80,120,80,120,80,100,3,False,78,78,92,0.8478260869565217
398,399,Spheal,Ice,Water,70,40,50,55,50,25,3,False,8,8,131,0.061068702290076333
399,400,Sealeo,Ice,Water,90,60,70,75,70,45,3,False,32,32,134,0.23880597014925373
400,401,Walrein,Ice,Water,110,80,90,95,90,65,3,False,75,75,149,0.5033557046979866
401,402,Clamperl,Water,,35,64,85,74,55,32,3,False,23,23,116,0.19827586206896552
402,403,Huntail,Water,,55,104,105,94,75,52,3,False,48,48,132,0.36363636363636365
403,404,Gorebyss,Water,,55,84,105,114,75,52,3,False,37,37,128,0.2890625
404,405,Relicanth,Water,Rock,100,90,130,45,65,55,3,False,57,57,134,0.4253731343283582
405,406,Luvdisc,Water,,43,30,55,40,65,97,3,False,79,79,131,0.6030534351145038
406,407,Bagon,Dragon,,45,75,60,40,30,50,3,False,38,38,125,0.304
407,408,Shelgon,Dragon,,65,95,100,60,50,50,3,False,43,43,123,0.34959349593495936
408,409,Salamence,Dragon,Flying,95,135,80,110,80,100,3,False,113,113,137,0.8248175182481752
409,410,Mega Salamence,Dragon,Flying,95,145,130,120,90,120,3,False,125,125,133,0.9398496240601504
410,411,Beldum,Steel,Psychic,40,55,80,35,60,30,3,False,20,20,133,0.15037593984962405
411,412,Metang,Steel,Psychic,60,75,100,55,80,50,3,False,42,42,136,0.3088235294117647
412,413,Metagross,Steel,Psychic,80,135,130,95,90,70,3,False,57,57,110,0.5181818181818182
413,414,Mega Metagross,Steel,Psychic,80,145,150,105,110,110,3,False,113,113,130,0.8692307692307693
414,415,Regirock,Rock,,80,100,200,50,100,50,3,True,50,50,144,0.3472222222222222
415,416,Regice,Ice,,80,50,100,100,200,50,3,True,33,33,140,0.2357142857142857
416,417,Registeel,Steel,,80,75,150,75,150,50,3,True,35,35,113,0.30973451327433627
417,418,Latias,Dragon,Psychic,80,80,90,110,130,110,3,True,116,116,133,0.8721804511278195
419,420,Latios,Dragon,Psychic,80,90,80,130,110,110,3,True,107,107,125,0.856
420,421,Mega Latios,Dragon,Psychic,80,130,100,160,120,110,3,True,97,97,108,0.8981481481481481
421,422,Kyogre,Water,,100,100,90,150,140,90,3,True,92,92,128,0.71875
422,423,Primal Kyogre,Water,,100,150,90,180,160,90,3,True,97,97,132,0.7348484848484849
423,424,Groudon,Ground,,100,150,140,100,90,90,3,True,106,106,133,0.7969924812030075
424,425,Primal Groudon,Ground,Fire,100,180,160,150,90,90,3,True,91,91,121,0.7520661157024794
425,426,Rayquaza,Dragon,Flying,105,150,90,150,90,95,3,True,116,116,140,0.8285714285714286
426,427,Mega Rayquaza,Dragon,Flying,105,180,100,180,100,115,3,True,127,127,134,0.9477611940298507
427,428,Jirachi,Steel,Psychic,100,100,100,100,100,100,3,True,134,134,153,0.8758169934640523
428,429,Deoxys Normal Forme,Psychic,,50,150,50,150,50,150,3,True,99,99,106,0.9339622641509434
429,430,DeoxysAttack Forme,Psychic,,50,180,20,180,20,150,3,True,121,121,134,0.9029850746268657
430,431,Deoxys Defense Forme,Psychic,,50,70,160,70,160,90,3,True,112,112,151,0.7417218543046358
431,432,Deoxys Speed Forme,Psychic,,50,95,90,95,90,180,3,True,133,133,145,0.9172413793103448
432,433,Turtwig,Grass,,55,68,64,45,55,31,4,False,14,14,120,0.11666666666666667
433,434,Grotle,Grass,,75,89,85,55,65,36,4,False,39,39,132,0.29545454545454547
434,435,Torterra,Grass,Ground,95,109,105,75,85,56,4,False,39,39,113,0.34513274336283184
435,436,Chimchar,Fire,,44,58,44,58,44,61,4,False,47,47,112,0.41964285714285715
436,437,Monferno,Fire,Fighting,64,78,52,78,52,81,4,False,79,79,123,0.6422764227642277
437,438,Infernape,Fire,Fighting,76,104,71,104,71,108,4,False,136,136,149,0.912751677852349
438,439,Piplup,Water,,53,51,53,61,56,40,4,False,20,20,140,0.14285714285714285
439,440,Prinplup,Water,,64,66,68,81,76,50,4,False,33,33,131,0.25190839694656486
440,441,Empoleon,Water,Steel,84,86,88,111,101,60,4,False,57,57,123,0.4634146341463415
441,442,Starly,Normal,Flying,40,55,30,30,30,60,4,False,54,54,124,0.43548387096774194
442,443,Staravia,Normal,Flying,55,75,50,40,40,80,4,False,75,75,119,0.6302521008403361
443,444,Staraptor,Normal,Flying,85,120,70,50,60,100,4,False,113,113,136,0.8308823529411765
444,445,Bidoof,Normal,,59,45,40,35,40,31,4,False,19,19,133,0.14285714285714285
445,446,Bibarel,Normal,Water,79,85,60,55,60,71,4,False,84,84,139,0.60431654676259
446,447,Kricketot,Bug,,37,25,41,25,41,25,4,False,11,11,124,0.08870967741935484
447,448,Kricketune,Bug,,77,85,51,55,51,65,4,False,63,63,122,0.5163934426229508
448,449,Shinx,Electric,,45,65,34,40,34,45,4,False,36,36,139,0.2589928057553957
449,450,Luxio,Electric,,60,85,49,60,49,60,4,False,56,56,126,0.4444444444444444
450,451,Luxray,Electric,,80,120,79,95,79,70,4,False,77,77,132,0.5833333333333334
451,452,Budew,Grass,Poison,40,30,35,50,70,55,4,False,33,33,117,0.28205128205128205
452,453,Roserade,Grass,Poison,60,70,65,125,105,90,4,False,94,94,136,0.6911764705882353
453,454,Cranidos,Rock,,67,125,40,30,30,58,4,False,35,35,102,0.3431372549019608
454,455,Rampardos,Rock,,97,165,60,65,50,58,4,False,48,48,123,0.3902439024390244
455,456,Shieldon,Rock,Steel,30,42,118,42,88,30,4,False,14,14,125,0.112
456,457,Bastiodon,Rock,Steel,60,52,168,47,138,30,4,False,24,24,121,0.19834710743801653
457,458,Burmy,Bug,,40,29,45,29,45,36,4,False,18,18,123,0.14634146341463414
458,459,Wormadam Plant Cloak,Bug,Grass,60,59,85,79,105,36,4,False,21,21,126,0.16666666666666666
459,460,Wormadam Sandy Cloak,Bug,Ground,60,79,105,59,85,36,4,False,22,22,129,0.17054263565891473
460,461,Wormadam Trash Cloak,Bug,Steel,60,69,95,69,95,36,4,False,36,36,138,0.2608695652173913
461,462,Mothim,Bug,Flying,70,94,50,94,50,66,4,False,65,65,135,0.48148148148148145
462,463,Combee,Bug,Flying,30,30,42,30,42,70,4,False,55,55,130,0.4230769230769231
463,464,Vespiquen,Bug,Flying,70,80,102,80,102,40,4,False,34,34,127,0.2677165354330709
464,465,Pachirisu,Electric,,60,45,70,45,90,95,4,False,103,103,141,0.7304964539007093
465,466,Buizel,Water,,55,65,35,60,30,85,4,False,68,68,111,0.6126126126126126
466,467,Floatzel,Water,,85,105,55,85,50,115,4,False,112,112,124,0.9032258064516129
467,468,Cherubi,Grass,,45,35,45,62,53,35,4,False,16,16,135,0.11851851851851852
468,469,Cherrim,Grass,,70,60,70,87,78,85,4,False,71,71,114,0.6228070175438597
469,470,Shellos,Water,,76,48,48,57,62,34,4,False,18,18,154,0.11688311688311688
470,471,Gastrodon,Water,Ground,111,83,68,92,82,39,4,False,22,22,124,0.1774193548387097
471,472,Ambipom,Normal,,75,100,66,60,66,115,4,False,102,102,111,0.918918918918919
472,473,Drifloon,Ghost,Flying,90,50,34,60,44,70,4,False,71,71,113,0.6283185840707964
473,474,Drifblim,Ghost,Flying,150,80,44,90,54,80,4,False,80,80,128,0.625
474,475,Buneary,Normal,,55,66,44,44,56,85,4,False,93,93,135,0.6888888888888889
475,476,Lopunny,Normal,,65,76,84,54,96,105,4,False,109,109,121,0.9008264462809917
476,477,Mega Lopunny,Normal,Fighting,65,136,94,54,96,135,4,False,124,124,129,0.9612403100775194
477,478,Mismagius,Ghost,,60,60,60,105,105,105,4,False,106,106,125,0.848
479,480,Glameow,Normal,,49,55,42,42,37,85,4,False,71,71,117,0.6068376068376068
480,481,Purugly,Normal,,71,82,64,64,59,112,4,False,111,111,119,0.9327731092436975
481,482,Chingling,Psychic,,45,30,50,65,50,45,4,False,17,17,123,0.13821138211382114
482,483,Stunky,Poison,Dark,63,63,47,41,41,74,4,False,70,70,125,0.56
483,484,Skuntank,Poison,Dark,103,93,67,71,61,84,4,False,85,85,119,0.7142857142857143
484,485,Bronzor,Steel,Psychic,57,24,86,24,86,23,4,False,14,14,110,0.12727272727272726
485,486,Bronzong,Steel,Psychic,67,89,116,79,116,33,4,False,37,37,141,0.2624113475177305
486,487,Bonsly,Rock,,50,80,95,10,45,10,4,False,29,29,125,0.232
487,488,Mime Jr.,Psychic,Fairy,20,25,45,70,90,60,4,False,37,37,120,0.30833333333333335
488,489,Happiny,Normal,,100,5,5,15,65,30,4,False,8,8,104,0.07692307692307693
489,490,Chatot,Normal,Flying,76,65,45,92,42,91,4,False,111,111,149,0.7449664429530202
490,491,Spiritomb,Ghost,Dark,50,92,108,92,108,35,4,False,29,29,118,0.2457627118644068
491,492,Gible,Dragon,Ground,58,70,45,40,45,42,4,False,35,35,135,0.25925925925925924
492,493,Gabite,Dragon,Ground,68,90,65,50,55,82,4,False,82,82,133,0.6165413533834586
493,494,Garchomp,Dragon,Ground,108,130,95,80,85,102,4,False,97,97,127,0.7637795275590551
494,495,Mega Garchomp,Dragon,Ground,108,170,115,120,95,92,4,False,85,85,120,0.7083333333333334
495,496,Munchlax,Normal,,135,85,40,40,85,5,4,False,81,81,118,0.6864406779661016
496,497,Riolu,Fighting,,40,70,40,35,40,60,4,False,49,49,125,0.392
497,498,Lucario,Fighting,Steel,70,110,70,115,70,90,4,False,90,90,120,0.75
498,499,Mega Lucario,Fighting,Steel,70,145,88,140,70,112,4,False,96,96,108,0.8888888888888888
499,500,Hippopotas,Ground,,68,72,78,38,42,32,4,False,30,30,126,0.23809523809523808
500,501,Hippowdon,Ground,,108,112,118,68,72,47,4,False,35,35,120,0.2916666666666667
501,502,Skorupi,Poison,Bug,40,50,90,30,55,65,4,False,63,63,141,0.44680851063829785
502,503,Drapion,Poison,Dark,70,90,110,60,75,95,4,False,88,88,120,0.7333333333333333
503,504,Croagunk,Poison,Fighting,48,61,40,61,40,50,4,False,29,29,114,0.2543859649122807
504,505,Toxicroak,Poison,Fighting,83,106,65,86,65,85,4,False,85,85,128,0.6640625
505,506,Carnivine,Grass,,74,100,72,90,72,46,4,False,28,28,114,0.24561403508771928
506,507,Finneon,Water,,49,49,56,49,61,66,4,False,68,68,131,0.5190839694656488
507,508,Lumineon,Water,,69,69,76,69,86,91,4,False,78,78,119,0.6554621848739496
508,509,Mantyke,Water,Flying,45,20,50,60,120,50,4,False,26,26,108,0.24074074074074073
509,510,Snover,Grass,Ice,60,62,50,62,60,40,4,False,22,22,121,0.18181818181818182
510,511,Abomasnow,Grass,Ice,90,92,75,92,85,60,4,False,60,60,121,0.49586776859504134
511,512,Mega Abomasnow,Grass,Ice,90,132,105,132,105,30,4,False,62,62,146,0.4246575342465753
512,513,Weavile,Dark,Ice,70,120,65,45,85,125,4,False,116,116,119,0.9747899159663865
513,514,Magnezone,Electric,Steel,70,70,115,130,90,60,4,False,63,63,118,0.5338983050847458
514,515,Lickilicky,Normal,,110,85,95,80,95,50,4,False,35,35,129,0.2713178294573643
515,516,Rhyperior,Ground,Rock,115,140,130,55,55,40,4,False,47,47,104,0.4519230769230769
516,517,Tangrowth,Grass,,100,100,125,110,50,50,4,False,48,48,125,0.384
517,518,Electivire,Electric,,75,123,67,95,85,95,4,False,94,94,123,0.7642276422764228
518,519,Magmortar,Fire,,75,95,67,125,95,83,4,False,79,79,111,0.7117117117117117
519,520,Togekiss,Fairy,Flying,85,50,95,120,115,80,4,False,73,73,126,0.5793650793650794
520,521,Yanmega,Bug,Flying,86,76,86,116,56,95,4,False,91,91,114,0.7982456140350878
521,522,Leafeon,Grass,,65,110,130,60,65,95,4,False,125,125,151,0.8278145695364238
522,523,Glaceon,Ice,,65,60,110,130,95,65,4,False,64,64,134,0.47761194029850745
523,524,Gliscor,Ground,Flying,75,95,125,45,75,95,4,False,109,109,132,0.8257575757575758
524,525,Mamoswine,Ice,Ground,110,130,80,70,60,80,4,False,68,68,116,0.5862068965517241
525,526,Porygon-Z,Normal,,85,80,70,135,75,90,4,False,103,103,147,0.7006802721088435
526,527,Gallade,Psychic,Fighting,68,125,65,65,115,80,4,False,86,86,137,0.6277372262773723
527,528,Mega Gallade,Psychic,Fighting,68,165,95,65,115,110,4,False,112,112,130,0.8615384615384616
528,529,Probopass,Rock,Steel,60,55,145,75,150,40,4,False,26,26,130,0.2
529,530,Dusknoir,Ghost,,45,100,135,65,135,45,4,False,40,40,136,0.29411764705882354
530,531,Froslass,Ice,Ghost,70,80,70,80,70,110,4,False,91,91,138,0.6594202898550725
531,532,Rotom,Electric,Ghost,50,50,77,95,77,91,4,False,71,71,120,0.5916666666666667
532,533,Heat Rotom,Electric,Fire,50,65,107,105,107,86,4,False,79,79,113,0.6991150442477876
533,534,Wash Rotom,Electric,Water,50,65,107,105,107,86,4,False,90,90,116,0.7758620689655172
534,535,Frost Rotom,Electric,Ice,50,65,107,105,107,86,4,False,90,90,128,0.703125
535,536,Fan Rotom,Electric,Flying,50,65,107,105,107,86,4,False,88,88,121,0.7272727272727273
536,537,Mow Rotom,Electric,Grass,50,65,107,105,107,86,4,False,98,98,134,0.7313432835820896
537,538,Uxie,Psychic,,75,75,130,75,130,95,4,True,92,92,123,0.7479674796747967
538,539,Mesprit,Psychic,,80,105,105,105,105,80,4,True,79,79,133,0.5939849624060151
539,540,Azelf,Psychic,,75,125,70,125,70,115,4,True,122,122,135,0.9037037037037037
540,541,Dialga,Steel,Dragon,100,120,120,150,100,90,4,True,119,119,151,0.7880794701986755
541,542,Palkia,Water,Dragon,90,120,100,150,120,100,4,True,115,115,149,0.7718120805369127
542,543,Heatran,Fire,Steel,91,90,106,130,106,77,4,True,85,85,131,0.648854961832061
543,544,Regigigas,Normal,,110,160,110,80,110,100,4,True,122,122,142,0.8591549295774648
544,545,Giratina Altered Forme,Ghost,Dragon,150,100,120,100,120,90,4,True,74,74,111,0.6666666666666666
545,546,Giratina Origin Forme,Ghost,Dragon,150,120,100,120,100,90,4,True,89,89,134,0.664179104477612
546,547,Cresselia,Psychic,,120,70,120,75,130,85,4,False,79,79,118,0.6694915254237288
547,548,Phione,Water,,80,80,80,80,80,80,4,False,74,74,132,0.5606060606060606
548,549,Manaphy,Water,,100,100,100,100,100,100,4,False,118,118,134,0.8805970149253731
549,550,Darkrai,Dark,,70,90,90,135,90,125,4,True,110,110,117,0.9401709401709402
550,551,Shaymin Land Forme,Grass,,100,100,100,100,100,100,4,True,117,117,136,0.8602941176470589
551,552,Shaymin Sky Forme,Grass,Flying,100,103,75,120,75,127,4,True,111,111,118,0.940677966101695
552,553,Arceus,Normal,,120,120,120,120,120,120,4,True,114,114,122,0.9344262295081968
553,554,Victini,Psychic,Fire,100,100,100,100,100,100,5,True,115,115,131,0.8778625954198473
554,555,Snivy,Grass,,45,45,55,45,55,63,5,False,51,51,111,0.4594594594594595
556,557,Serperior,Grass,,75,75,95,75,95,113,5,False,119,119,132,0.9015151515151515
557,558,Tepig,Fire,,65,63,45,45,45,45,5,False,34,34,131,0.2595419847328244
558,559,Pignite,Fire,Fighting,90,93,55,70,55,55,5,False,55,55,144,0.3819444444444444
559,560,Emboar,Fire,Fighting,110,123,65,100,65,65,5,False,72,72,138,0.5217391304347826
560,561,Oshawott,Water,,55,55,45,63,45,45,5,False,31,31,124,0.25
561,562,Dewott,Water,,75,75,60,83,60,60,5,False,48,48,122,0.39344262295081966
562,563,Samurott,Water,,95,100,85,108,70,70,5,False,65,65,115,0.5652173913043478
563,564,Patrat,Normal,,45,55,39,35,39,42,5,False,25,25,135,0.18518518518518517
564,565,Watchog,Normal,,60,85,69,60,69,77,5,False,69,69,133,0.518796992481203
565,566,Lillipup,Normal,,45,60,45,25,45,55,5,False,29,29,100,0.29
566,567,Herdier,Normal,,65,80,65,35,65,60,5,False,53,53,138,0.38405797101449274
567,568,Stoutland,Normal,,85,110,90,45,90,80,5,False,72,72,116,0.6206896551724138
568,569,Purrloin,Dark,,41,50,37,50,37,66,5,False,59,59,114,0.5175438596491229
569,570,Liepard,Dark,,64,88,50,88,50,106,5,False,123,123,135,0.9111111111111111
570,571,Pansage,Grass,,50,53,48,53,48,64,5,False,53,53,130,0.4076923076923077
571,572,Simisage,Grass,,75,98,63,98,63,101,5,False,106,106,131,0.8091603053435115
572,573,Pansear,Fire,,50,53,48,53,48,64,5,False,60,60,130,0.46153846153846156
573,574,Simisear,Fire,,75,98,63,98,63,101,5,False,113,113,127,0.889763779527559
574,575,Panpour,Water,,50,53,48,53,48,64,5,False,42,42,117,0.358974358974359
575,576,Simipour,Water,,75,98,63,98,63,101,5,False,113,113,133,0.849624060150376
576,577,Munna,Psychic,,76,25,45,67,55,24,5,False,5,5,128,0.0390625
577,578,Musharna,Psychic,,116,55,85,107,95,29,5,False,9,9,132,0.06818181818181818
578,579,Pidove,Normal,Flying,50,55,50,36,30,43,5,False,45,45,154,0.2922077922077922
579,580,Tranquill,Normal,Flying,62,77,62,50,42,65,5,False,60,60,124,0.4838709677419355
580,581,Unfezant,Normal,Flying,80,115,80,65,55,93,5,False,102,102,130,0.7846153846153846
581,582,Blitzle,Electric,,45,60,32,50,32,76,5,False,80,80,135,0.5925925925925926
582,583,Zebstrika,Electric,,75,100,63,80,63,116,5,False,100,100,107,0.9345794392523364
583,584,Roggenrola,Rock,,55,75,85,25,25,15,5,False,27,27,144,0.1875
584,585,Boldore,Rock,,70,105,105,50,40,20,5,False,44,44,131,0.33587786259541985
585,586,Gigalith,Rock,,85,135,130,60,80,25,5,False,60,60,148,0.40540540540540543
586,587,Woobat,Psychic,Flying,55,45,43,55,43,72,5,False,72,72,123,0.5853658536585366
587,588,Swoobat,Psychic,Flying,67,57,55,77,55,114,5,False,103,103,116,0.8879310344827587
588,589,Drilbur,Ground,,60,85,40,30,45,68,5,False,70,70,109,0.6422018348623854
589,590,Excadrill,Ground,Steel,110,135,60,50,65,88,5,False,103,103,133,0.7744360902255639
590,591,Audino,Normal,,103,60,86,60,86,50,5,False,46,46,133,0.3458646616541353
591,592,Mega Audino,Normal,Fairy,103,60,126,80,126,50,5,False,48,48,132,0.36363636363636365
592,593,Timburr,Fighting,,75,80,55,25,35,35,5,False,28,28,150,0.18666666666666668
593,594,Gurdurr,Fighting,,85,105,85,40,50,40,5,False,25,25,118,0.211864406779661
594,595,Conkeldurr,Fighting,,105,140,95,55,65,45,5,False,39,39,130,0.3
595,596,Tympole,Water,,50,50,40,50,40,64,5,False,62,62,136,0.45588235294117646
596,597,Palpitoad,Water,Ground,75,65,55,65,55,69,5,False,54,54,124,0.43548387096774194
597,598,Seismitoad,Water,Ground,105,95,75,85,75,74,5,False,68,68,119,0.5714285714285714
598,599,Throh,Fighting,,120,100,85,30,85,45,5,False,33,33,147,0.22448979591836735
599,600,Sawk,Fighting,,75,125,75,30,75,85,5,False,85,85,136,0.625
600,601,Sewaddle,Bug,Grass,45,53,70,40,60,42,5,False,35,35,136,0.25735294117647056
601,602,Swadloon,Bug,Grass,55,63,90,50,80,42,5,False,26,26,123,0.21138211382113822
602,603,Leavanny,Bug,Grass,75,103,80,70,80,92,5,False,96,96,121,0.7933884297520661
